,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,34,27,7,.794,-1.91,-7.34,,14,4,,13,2,,10,4,,73.6,63.6,,40.3,26.4,56.2,.469,7.38,19.4,.380,13.4,18.9,.712,9.56,32.6,15.4,8.74,2.74,12.0,18.7
2,Air Force,32,14,18,.438,-4.28,0.24,,8,10,,9,6,,3,9,,68.1,71.7,,40.6,25.1,55.5,.452,7.31,22.2,.329,10.7,15.7,.678,7.91,33.7,13.6,4.81,1.78,13.2,17.0
3,Akron,33,17,16,.515,4.86,1.09,,8,10,,14,3,,1,10,,68.8,63.8,,40.2,24.2,59.0,.409,9.00,28.2,.320,11.5,16.3,.705,9.45,36.5,12.1,5.61,3.21,11.8,17.2
4,Alabama A&M,32,5,27,.156,-19.23,-8.38,,4,14,,4,7,,0,18,,60.6,71.4,,40.5,23.0,56.5,.407,5.69,18.1,.315,8.88,14.2,.627,9.81,32.3,12.0,7.31,1.56,15.2,18.3
5,Alabama-Birmingham,35,20,15,.571,0.36,-1.52,,10,8,,11,5,,6,6,,70.6,67.7,,40.3,25.9,57.2,.452,6.69,19.8,.337,12.1,18.0,.673,10.5,36.5,11.5,6.23,2.34,11.4,16.5
6,Alabama State,31,12,19,.387,-15.60,-7.84,,9,9,,8,3,,3,13,,67.3,72.1,,40.3,23.0,56.9,.404,6.97,21.7,.321,14.4,22.1,.652,11.8,35.3,10.1,6.55,3.29,14.5,18.2
7,Alabama,34,18,16,.529,9.45,9.01,,8,10,,10,6,,4,8,,72.0,71.6,,40.1,25.2,57.2,.440,7.18,21.1,.340,14.5,21.7,.666,11.3,37.8,12.3,4.62,4.71,13.7,16.8
8,Albany (NY),32,12,20,.375,-9.38,-6.70,,7,9,,6,8,,6,10,,67.2,69.3,,40.6,22.8,54.7,.416,8.56,24.7,.347,13.1,17.6,.745,9.19,33.8,12.6,6.09,2.44,14.2,17.7
9,Alcorn State,31,10,21,.323,-22.08,-8.97,,6,12,,10,3,,0,17,,64.4,70.8,,40.2,22.9,55.5,.412,6.81,20.8,.327,11.8,17.5,.674,10.8,34.8,12.6,7.39,3.45,15.9,17.7
