,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,29,13,16,.448,-11.86,-7.10,,7,11,,9,5,,4,11,,69.3,71.5,,40.7,24.9,53.6,.464,7.14,19.0,.376,12.4,18.7,.663,7.66,31.2,14.1,7.24,2.86,14.2,21.8
2,Air Force,33,12,21,.364,-3.06,1.00,,4,14,,11,7,,0,11,,73.1,75.1,,40.5,24.8,56.8,.436,8.00,22.1,.363,15.5,21.7,.717,9.39,34.8,15.0,5.97,1.73,11.8,18.0
3,Akron,36,27,9,.750,3.59,-1.21,,14,4,,13,2,,7,6,,77.0,70.8,,40.0,26.4,56.5,.466,10.2,27.3,.372,14.1,20.7,.683,9.92,34.6,14.4,5.50,3.28,11.7,18.1
4,Alabama A&M,29,2,27,.069,-26.99,-11.09,,2,16,,1,9,,1,18,,61.9,77.8,,40.5,21.7,53.4,.405,4.31,15.4,.280,14.2,21.2,.669,10.3,31.5,11.2,3.45,1.72,13.2,18.1
5,Alabama-Birmingham,33,17,16,.515,-1.17,-1.83,,9,9,,11,5,,4,8,,71.8,70.2,,40.3,25.3,54.8,.462,6.15,17.7,.348,15.0,20.4,.736,9.73,36.0,15.2,4.76,4.85,13.5,16.0
6,Alabama State,31,8,23,.258,-19.75,-10.75,,6,12,,6,5,,1,17,,65.9,74.4,,40.6,23.2,59.2,.392,6.45,21.7,.297,13.0,20.5,.637,13.8,38.3,9.68,4.84,3.16,15.7,20.3
7,Alabama,34,19,15,.559,11.29,7.47,,10,8,,11,6,,5,6,,68.5,64.7,,40.6,23.8,56.1,.424,6.62,20.9,.317,14.3,21.9,.653,12.3,39.0,11.5,5.88,4.15,13.9,19.5
8,Albany (NY),35,21,14,.600,-0.16,-4.69,,10,6,,11,5,,9,8,,71.3,65.7,,40.0,25.9,55.5,.467,5.49,14.7,.372,14.0,18.5,.757,10.8,35.9,12.7,5.09,1.71,11.9,17.6
9,Alcorn State,32,18,14,.563,-12.33,-10.95,,13,5,,11,2,,6,11,,69.4,68.0,,40.2,25.0,58.3,.429,6.94,20.9,.332,12.5,19.1,.652,12.1,38.8,13.3,6.53,3.59,14.1,19.1
10,American,30,8,22,.267,-10.30,-3.50,,5,13,,4,11,,4,11,,61.5,68.3,,40.2,23.1,51.4,.449,5.60,17.6,.318,9.77,15.8,.618,6.80,28.9,11.3,6.97,2.43,13.2,18.3
11,Appalachian State,30,9,21,.300,-8.67,-1.60,,4,14,,8,6,,1,14,,73.6,76.0,,40.2,25.0,59.4,.421,8.37,24.7,.338,15.3,22.5,.681,11.3,37.5,13.8,5.57,3.03,13.8,21.4
12,Arizona State,33,15,18,.455,4.02,7.11,,7,11,,9,7,,4,6,,78.6,81.7,,40.2,26.9,62.0,.434,9.94,27.2,.366,14.8,19.8,.749,9.21,32.6,13.0,5.88,3.21,10.4,16.8
13,Arizona NCAA,37,32,5,.865,18.25,7.63,,16,2,,15,1,,9,1,,76.6,65.9,,40.0,26.4,55.4,.477,6.59,16.9,.390,17.2,22.4,.765,10.3,36.7,13.5,5.43,3.22,11.2,16.9
14,Little Rock,32,15,17,.469,-6.07,-3.80,,6,12,,9,6,,4,9,,68.4,68.3,,40.3,24.2,54.7,.443,6.47,18.7,.346,13.5,18.2,.741,9.53,33.1,11.8,5.72,3.75,12.9,18.5
15,Arkansas-Pine Bluff,32,7,25,.219,-22.81,-10.28,,6,12,,6,6,,1,19,,61.8,72.5,,40.8,21.7,53.9,.403,6.50,19.4,.335,11.8,18.2,.652,10.5,31.7,10.4,8.72,2.91,18.1,22.4
16,Arkansas State,32,20,12,.625,0.87,-2.10,,11,7,,12,1,,7,9,,73.3,69.1,,40.2,25.8,56.0,.461,6.88,18.1,.380,14.8,23.2,.638,11.0,36.5,12.4,5.38,2.59,12.9,20.4
17,Arkansas NCAA,36,26,10,.722,14.04,8.60,,12,6,,15,3,,6,5,,79.3,73.9,,40.0,27.7,60.1,.461,6.47,17.7,.365,17.4,22.9,.761,11.1,36.1,13.8,7.72,4.72,11.9,20.5
18,Army,32,13,19,.406,-5.84,-4.10,,6,12,,9,8,,4,10,,72.6,73.1,,40.5,26.3,59.6,.442,9.09,25.8,.353,10.9,16.7,.655,9.91,37.9,16.3,5.56,1.91,15.1,19.4
19,Auburn,32,18,14,.563,8.17,7.33,,7,11,,10,5,,6,6,,80.4,79.6,,40.3,26.9,61.5,.437,9.03,24.7,.366,17.6,26.1,.672,11.5,36.6,13.0,7.31,5.06,13.6,20.9
20,Austin Peay,30,11,19,.367,-11.00,-2.32,,7,9,,5,8,,4,11,,77.7,83.8,,40.5,26.9,57.3,.469,7.57,21.3,.355,16.4,23.2,.708,8.17,30.4,10.8,5.70,2.43,12.4,18.2
21,Ball State,34,21,13,.618,-1.45,-3.57,,11,7,,11,5,,7,7,,78.7,75.5,,40.6,27.3,59.2,.461,9.38,24.7,.379,14.7,20.5,.718,9.85,37.7,15.6,5.97,3.47,14.6,19.4
22,Baylor NCAA,35,27,8,.771,19.75,11.87,,12,6,,15,2,,6,4,,72.9,63.7,,40.0,26.3,55.9,.471,6.57,18.3,.359,13.7,18.9,.723,12.9,38.0,15.5,5.14,4.74,13.4,17.6
23,Belmont,30,23,7,.767,4.28,-1.69,,15,1,,12,1,,11,4,,76.7,69.3,,40.2,26.6,56.8,.469,10.2,29.8,.342,13.3,17.4,.768,8.47,35.2,16.0,4.37,2.67,12.7,17.7
24,Bethune-Cookman,32,10,22,.313,-19.44,-11.21,,6,10,,7,7,,2,13,,71.1,77.8,,41.1,26.3,63.2,.415,7.13,22.3,.320,11.5,17.3,.662,12.4,35.5,14.0,7.66,3.00,12.9,20.1
25,Binghamton,32,12,20,.375,-11.99,-5.79,,3,13,,7,7,,4,13,,68.0,70.9,,40.2,24.0,54.9,.437,7.75,21.4,.362,12.2,17.3,.705,7.84,33.0,12.8,5.22,2.44,12.4,17.0
26,Boise State,32,20,12,.625,5.52,2.72,,12,6,,11,3,,8,7,,75.1,71.2,,40.0,25.3,56.3,.450,7.91,22.7,.348,16.5,23.2,.712,9.66,35.6,12.1,4.94,2.41,12.8,20.7
27,Boston College,32,9,23,.281,2.20,8.08,,2,16,,8,10,,0,9,,72.5,78.4,,40.0,26.3,58.8,.448,8.00,21.4,.374,11.8,17.4,.680,9.13,35.0,14.8,5.59,2.72,14.6,18.7
28,Boston University,32,18,14,.563,-2.43,-3.66,,12,6,,11,5,,6,9,,73.1,70.8,,40.6,25.5,57.6,.443,8.56,24.2,.354,13.5,19.3,.696,10.0,35.7,14.0,8.28,2.53,13.9,19.1
29,Bowling Green State,32,13,19,.406,-6.00,-2.00,,7,11,,10,7,,3,12,,73.6,76.7,,40.5,26.0,61.2,.425,6.88,20.1,.342,14.7,22.1,.667,11.0,36.0,12.2,6.91,2.72,12.8,19.5
30,Bradley,33,13,20,.394,-2.84,2.94,,7,11,,8,7,,3,10,,65.5,70.7,,40.2,22.2,52.2,.425,6.58,18.5,.356,14.7,21.8,.673,9.00,35.0,11.3,6.15,3.58,15.1,20.4
31,Brigham Young,34,22,12,.647,8.22,1.87,,12,6,,14,4,,5,4,,80.6,74.3,,40.0,27.6,60.5,.456,6.76,19.6,.344,18.7,25.6,.733,10.7,41.7,15.7,6.59,4.59,13.8,19.3
32,Brown,30,13,17,.433,-8.55,-4.08,,4,10,,9,7,,4,8,,75.8,77.9,,40.0,24.5,55.3,.443,8.13,22.2,.367,18.7,24.6,.759,9.17,31.1,13.3,7.60,1.87,14.3,19.9
33,Bryant,32,12,20,.375,-9.69,-5.43,,9,9,,9,5,,2,15,,74.2,77.4,,41.1,26.2,59.9,.438,7.41,21.9,.338,14.3,19.9,.720,10.8,35.9,14.4,6.81,2.16,13.4,21.3
34,Bucknell NCAA,35,26,9,.743,5.89,-2.48,,15,3,,14,2,,9,6,,76.3,67.9,,40.0,26.9,56.0,.480,8.17,21.5,.379,14.2,20.9,.681,8.63,34.4,14.6,7.20,3.83,13.3,18.7
35,Buffalo,32,17,15,.531,0.92,-1.01,,11,7,,8,4,,8,7,,77.7,74.2,,40.2,27.4,60.8,.451,7.50,22.7,.330,15.4,22.2,.692,12.4,40.5,14.3,5.66,3.97,14.2,23.0
36,Butler NCAA,34,25,9,.735,17.70,10.23,,12,6,,13,3,,7,4,,76.3,68.9,,40.3,26.6,55.8,.477,7.68,21.0,.366,15.4,20.7,.741,8.44,32.1,13.3,6.06,2.82,10.2,18.8
37,Cal Poly,31,11,20,.355,-10.71,-4.22,,6,10,,6,6,,5,11,,67.2,72.3,,40.3,23.4,58.1,.403,8.32,24.5,.340,12.0,17.2,.697,9.68,32.4,10.4,5.23,3.65,10.7,18.5
38,Cal State Bakersfield,35,25,10,.714,3.21,-1.94,,12,2,,12,1,,11,6,,71.5,63.9,,40.7,25.6,58.1,.440,6.54,18.6,.351,13.8,21.6,.640,12.3,38.5,14.5,8.17,3.91,14.8,22.7
39,Cal State Fullerton,32,17,15,.531,-7.55,-6.85,,10,6,,12,4,,4,8,,73.5,71.3,,41.1,25.7,57.8,.444,6.13,19.7,.311,16.0,23.3,.687,10.9,37.4,12.1,6.97,3.66,14.5,20.8
40,Cal State Northridge,30,11,19,.367,-8.34,-4.13,,7,9,,7,7,,4,8,,78.0,81.3,,40.0,26.9,58.2,.461,4.83,13.8,.349,19.5,26.7,.729,9.83,35.1,13.7,6.90,3.00,13.3,21.3
41,UC-Davis NCAA,36,23,13,.639,-5.21,-4.68,,11,5,,11,0,,6,9,,70.1,69.6,,40.4,24.3,55.8,.435,6.14,17.6,.348,15.5,23.0,.674,10.1,35.6,12.8,5.61,3.28,14.3,19.1
